Frequency (GHz), S1:1 (dB), S1:1 (rad)
5.748099854404321585e-01,-2.070148465503136750e-04,-1.299065650367443869e-01
5.780212144093731519e-01,-2.114474910799009973e-04,-1.306398759063276682e-01
5.812324433783141453e-01,-2.164537283395051039e-04,-1.313733448055923458e-01
5.844436723472551387e-01,-2.221810306835617359e-04,-1.321069346033229008e-01
5.876549013161961321e-01,-2.285732265396184259e-04,-1.328406029969484425e-01
5.908661302851370145e-01,-2.353738502999626130e-04,-1.335743159980520844e-01
5.940773592540780079e-01,-2.421918401480965453e-04,-1.343080592421299346e-01
5.972885882230190013e-01,-2.486101073095169783e-04,-1.350418436235153730e-01
6.004998171919598837e-01,-2.543043119494734785e-04,-1.357757034861437062e-01
6.037110461609008771e-01,-2.591360283989172040e-04,-1.365096878712925288e-01
6.069222751298417595e-01,-2.631923111052309155e-04,-1.372438474351278803e-01
6.101335040987827529e-01,-2.667600398165207408e-04,-1.379782209526755066e-01
6.133447330677237463e-01,-2.702432532596004463e-04,-1.387128254228883473e-01
6.165559620366647398e-01,-2.740488494508671116e-04,-1.394476526581062692e-01
6.197671910056057332e-01,-2.784752576789838153e-04,-1.401826732373442630e-01
6.229784199745466156e-01,-2.836371841345003398e-04,-1.409178464526467112e-01
6.261896489434876090e-01,-2.894478588247595408e-04,-1.416531330804192135e-01
6.294008779124286024e-01,-2.956620960313412747e-04,-1.423885070195120561e-01
6.326121068813695958e-01,-3.019646435414810072e-04,-1.431239622907429232e-01
6.358233358503104782e-01,-3.080746512872942016e-04,-1.438595134329335445e-01
6.390345648192514716e-01,-3.138328809715624644e-04,-1.445951894609271149e-01
6.422457937881923540e-01,-3.192447389164475009e-04,-1.453310235897425917e-01
6.454570227571333474e-01,-3.244671811820648436e-04,-1.460670422263762036e-01
6.486682517260743408e-01,-3.297461344041914002e-04,-1.468032568759355672e-01
6.518794806950153342e-01,-3.353272617001632860e-04,-1.475396615615350848e-01
6.550907096639563276e-01,-3.413714121419755853e-04,-1.482762364624996554e-01
6.583019386328972100e-01,-3.479041282465264169e-04,-1.490129563539735469e-01
6.615131676018382034e-01,-3.548167454389698685e-04,-1.497498007823770683e-01
6.647243965707791968e-01,-3.619187343314574849e-04,-1.504867622874101751e-01
6.679356255397200792e-01,-3.690228846710981968e-04,-1.512238496061016346e-01
6.711468545086610726e-01,-3.760327479387812698e-04,-1.519610844848502396e-01
6.743580834776019550e-01,-3.829996862323963979e-04,-1.526984929430964255e-01
6.775693124465429484e-01,-3.901259423053440064e-04,-1.534360938505108796e-01
6.807805414154839418e-01,-3.977077376941793078e-04,-1.541738888146442776e-01
6.839917703844249353e-01,-4.060330154732251116e-04,-1.549118572105533387e-01
6.872029993533659287e-01,-4.152653643432898615e-04,-1.556499587109434757e-01
6.904142283223069221e-01,-4.253531111382864043e-04,-1.563881433142344235e-01
6.936254572912478045e-01,-4.359975903303411763e-04,-1.571263663449502246e-01
6.968366862601887979e-01,-4.466981097988061535e-04,-1.578646040276146245e-01
7.000479152291297913e-01,-4.568677873584740074e-04,-1.586028646534516640e-01
7.032591441980706737e-01,-4.659912908100485862e-04,-1.593411913293522331e-01
7.064703731670116671e-01,-4.737799110555323038e-04,-1.600796546032318968e-01
7.096816021359525495e-01,-4.802766488065720197e-04,-1.608183362521595494e-01
7.128928311048935429e-01,-4.858756586027654020e-04,-1.615573083082045558e-01
7.161040600738345363e-01,-4.912436392374048026e-04,-1.622966131131804435e-01
7.193152890427755297e-01,-4.971590763833549920e-04,-1.630362502604719710e-01
