Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.862512801985757860e-01,-9.708444540605693618e+00,5.091724360615622613e-01,-4.912809132391969813e-01,-1.067755967607816103e+00,-4.644860875392348021e+01,1.186420752285257452e+00,-4.644995942687265966e+01,1.203501690438860239e+00
1.894625091675167794e-01,-9.641094056455143502e+00,4.921802724650318206e-01,-4.994182662841114562e-01,-1.084856138730155628e+00,-4.627231666875466942e+01,1.179205852807985400e+00,-4.627363254641661428e+01,1.195997029473078399e+00
1.926737381364577451e-01,-9.577508846833229228e+00,4.752221588963082555e-01,-5.072319447553946814e-01,-1.101922360468705175e+00,-4.609817855922729279e+01,1.171925257601113435e+00,-4.609946195449189332e+01,1.188436630444772879e+00
1.958849671053986830e-01,-9.517616981855267611e+00,4.582966030706277505e-01,-5.147105646860272721e-01,-1.118956131991073022e+00,-4.592611806207575142e+01,1.164578630803755122e+00,-4.592737016970589536e+01,1.180819674796737662e+00
1.990961960743396486e-01,-9.461351841438354171e+00,4.414020702879480340e-01,-5.218432093609991496e-01,-1.135958995019347384e+00,-4.575606281814481235e+01,1.157165635513668578e+00,-4.575728380455398536e+01,1.173145334176098231e+00
2.023074250432806143e-01,-9.408651898253106438e+00,4.245369848220617026e-01,-5.286194349389576885e-01,-1.152932532112513009e+00,-4.558794410857718304e+01,1.149685930530498501e+00,-4.558913331531591240e+01,1.165412769924736525e+00
2.055186540122215799e-01,-9.359460523822932032e+00,4.076997311520422218e-01,-5.350292759262830211e-01,-1.169878365061130632e+00,-4.542169653268653917e+01,1.142139162577762823e+00,-4.542285277283878031e+01,1.157621132567022038e+00
2.087298829811625456e-01,-9.313725816521179368e+00,3.908886550785897196e-01,-5.410632508145515329e-01,-1.186798153382508492e+00,-4.525725773750795611e+01,1.134524955046994243e+00,-4.525837965245366235e+01,1.149769561307089960e+00
2.119411119501034835e-01,-9.271400450318047604e+00,3.741020647874270244e-01,-5.467123681543053504e-01,-1.203693592893362307e+00,-4.509456820578108704e+01,1.126842894722794641e+00,-4.509565464144655778e+01,1.141857183553702138e+00
2.151523409190444769e-01,-9.232441543148819818e+00,3.573382319379325711e-01,-5.519681332667794038e-01,-1.220566414327179494e+00,-4.493357110477905536e+01,1.119092518217104093e+00,-4.493462146263672707e+01,1.133883114495575883e+00
2.183635698879854148e-01,-9.196810543721971598e+00,3.405953928651603846e-01,-5.568225556955044286e-01,-1.237418381956496338e+00,-4.477421219340315872e+01,1.111273299928592584e+00,-4.477522671271148624e+01,1.125846456753373692e+00
2.215747988569263804e-01,-9.164473135480116994e+00,3.238717499851387904e-01,-5.612681573790144762e-01,-1.254251292177214649e+00,-4.461643977986121001e+01,1.103384643230385542e+00,-4.461741971403412066e+01,1.117746300135725734e+00
