Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
1.284491587576384874e-01,-1.168748871252014965e+01,8.222456011342937909e-01,-3.049886466569472487e-01,-7.527525484836350422e-01,-1.267414870491939283e+01,2.802292250384168071e+00,-4.054959504175300111e+01,1.271861130202142753e+00
1.316603877265794531e-01,-1.153185158207649330e+01,8.044450548712830384e-01,-3.165299489477565453e-01,-7.706600010114893484e-01,-1.265471586935994353e+01,2.793534901638661694e+00,-4.031520979361403079e+01,1.263981325531108313e+00
1.348716166955203910e-01,-1.138264066199738167e+01,7.866959419684901311e-01,-3.280203704309920809e-01,-7.885160519818150693e-01,-1.263446841180141078e+01,2.784756275574213014e+00,-4.008559762106010282e+01,1.256055112887360492e+00
1.380828456644613844e-01,-1.123960636478881270e+01,7.689978672767197043e-01,-3.394421548106729136e-01,-8.063211013676294669e-01,-1.261336439569804213e+01,2.775937648446270334e+00,-3.986052040975875599e+01,1.248082074774203631e+00
1.412940746334023501e-01,-1.110251651847428178e+01,7.513503592195069913e-01,-3.507777537851875516e-01,-8.240756253992951308e-01,-1.259141966117384470e+01,2.767059668536143047e+00,-3.963975680280412206e+01,1.240061790638201877e+00
1.445053036023432880e-01,-1.097115489324328941e+01,7.337528714448975364e-01,-3.620098481047687722e-01,-8.417801749463955652e-01,-1.256870591281142602e+01,2.758104650358307541e+00,-3.942310062652828861e+01,1.231993835627458456e+00
1.477165325712842536e-01,-1.084531989362719173e+01,7.162047845176500172e-01,-3.731213677453589783e-01,-8.594353738834876744e-01,-1.254534224443854917e+01,2.749058656722392247e+00,-3.921035949802947584e+01,1.223877776930979655e+00
1.509277615402252193e-01,-1.072482339489334180e+01,6.987054076438659056e-01,-3.840955113334437176e-01,-8.770419174410402086e-01,-1.252148109248125429e+01,2.739913129255544089e+00,-3.900135359727061513e+01,1.215713168436718838e+00
1.541389905091661849e-01,-1.060948970551325310e+01,6.812539804222624840e-01,-3.949157649388935765e-01,-8.946005705378170525e-01,-1.249729024204021499e+01,2.730665879700420184e+00,-3.879591458769152723e+01,1.207499544546984049e+00
1.573502194781071506e-01,-1.049915464019532152e+01,6.638496746185245101e-01,-4.055659203210084662e-01,-9.121121660867825831e-01,-1.247293295348541520e+01,2.721321326874504898e+00,-3.859388466966894526e+01,1.199236414013105989e+00
