Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
4.181020161867636808e+00,-2.742492098729069383e+01,-2.013743949861461324e+00,-1.739145605970001043e+02,-2.746966109465092121e-01
4.200287535885460777e+00,-2.744453910266151908e+01,-2.015947910222402051e+00,-1.736680853733227821e+02,-2.815771348215743153e-01
4.219554909903283857e+00,-2.746535770648847219e+01,-2.018082800219738182e+00,-1.734266084749745858e+02,-2.892504571727743112e-01
4.238822283921106937e+00,-2.748736976382231134e+01,-2.020148108578590396e+00,-1.731908155073918181e+02,-2.976269861076789591e-01
4.258089657938930017e+00,-2.751056860271245696e+01,-2.022143340955293134e+00,-1.729610967812523654e+02,-3.065912410684688005e-01
4.277357031956753097e+00,-2.753494790893251221e+01,-2.024068016951334315e+00,-1.727374733476889048e+02,-3.160210684806253889e-01
4.296624405974576177e+00,-2.756050171757543055e+01,-2.025921668242240958e+00,-1.725196137368065763e+02,-3.258080656996233948e-01
4.315891779992399258e+00,-2.758722440700706002e+01,-2.027703837814679666e+00,-1.723069325237706835e+02,-3.358741462591712246e-01
4.335159154010222338e+00,-2.761511069986832823e+01,-2.029414079988137942e+00,-1.720987429747316639e+02,-3.461803858083094543e-01
4.354426528028045418e+00,-2.764415567374319593e+01,-2.031051960670960721e+00,-1.718944242941516052e+02,-3.567263101888633603e-01
4.373693902045868498e+00,-2.767435478133561944e+01,-2.032617057225570179e+00,-1.716935618321332129e+02,-3.675401882334743964e-01
4.392961276063692466e+00,-2.770570387728200146e+01,-2.034108957413947039e+00,-1.714960267122145581e+02,-3.786631169158195531e-01
4.412228650081515546e+00,-2.773819924680816129e+01,-2.035527257134821077e+00,-1.713019778746691486e+02,-3.901311612118023575e-01
4.431496024099338626e+00,-2.777183763084029167e+01,-2.036871556982243980e+00,-1.711117900644170504e+02,-4.019601291223502404e-01
4.450763398117161707e+00,-2.780661624305529855e+01,-2.038141457964159464e+00,-1.709259300164788442e+02,-4.141366592683571879e-01
4.470030772134984787e+00,-2.784253277646362434e+01,-2.039336556934948863e+00,-1.707448149059788989e+02,-4.266174892085106696e-01
4.489298146152807867e+00,-2.787958539987682727e+01,-2.040456442359366740e+00,-1.705686894203747102e+02,-4.393366175693335096e-01
4.508565520170631835e+00,-2.791777274726912239e+01,-2.041500690919889394e+00,-1.703975509657016687e+02,-4.522181574073586563e-01
4.527832894188454915e+00,-2.795709390487280288e+01,-2.042468865234626563e+00,-1.702311391718081666e+02,-4.651914332535042051e-01
4.547100268206277995e+00,-2.799754840135564038e+01,-2.043360512635552961e+00,-1.700689896509697121e+02,-4.782045106127941203e-01
4.566367642224101075e+00,-2.803913620547939090e+01,-2.044175164653700527e+00,-1.699105365649931230e+02,-4.912328752851791158e-01
4.585635016241924156e+00,-2.808185773349582703e+01,-2.044912336651414364e+00,-1.697552372068383022e+02,-5.042812531415998833e-01
4.604902390259747236e+00,-2.812571386578605015e+01,-2.045571526987884248e+00,-1.696026870018890804e+02,-5.173782941336170227e-01
4.624169764277570316e+00,-2.817070596964203943e+01,-2.046152215216992865e+00,-1.694526963528674912e+02,-5.305656355190491169e-01
4.643437138295394284e+00,-2.821683592333545576e+01,-2.046653859064977432e+00,-1.693053110330259017e+02,-5.438842548966472679e-01
4.662704512313217364e+00,-2.826410613619347245e+01,-2.047075890251272234e+00,-1.691607727483165604e+02,-5.573616437979859173e-01
4.681971886331040444e+00,-2.831251956041815632e+01,-2.047417709513058792e+00,-1.690194319286686380e+02,-5.710030101938208258e-01
4.701239260348863525e+00,-2.836207969256445338e+01,-2.047678681391324584e+00,-1.688816365148121008e+02,-5.847885698158270529e-01
4.720506634366686605e+00,-2.841279056533709380e+01,-2.047858129380057512e+00,-1.687476255358034507e+02,-5.986773652306075499e-01
4.739774008384509685e+00,-2.846465673292933829e+01,-2.047955331918592137e+00,-1.686174538117966222e+02,-6.126164113438747894e-01
