Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
5.433399473026145898e+00,-3.118190590579423471e+01,-1.984540333033223858e+00,-1.655018188642863777e+02,-1.114965023917469766e+00
5.452666847043968978e+00,-3.128434543009024438e+01,-1.980316266821865234e+00,-1.654490576529537407e+02,-1.128391932785073770e+00
5.471934221061792059e+00,-3.138846848488161712e+01,-1.975904458682569587e+00,-1.653974678925614512e+02,-1.141828415588403312e+00
5.491201595079616027e+00,-3.149429386337207504e+01,-1.971298043950230339e+00,-1.653471399096889627e+02,-1.155286198534363429e+00
5.510468969097439107e+00,-3.160183989586593256e+01,-1.966489782139823284e+00,-1.652981969059007099e+02,-1.168769456041962362e+00
5.529736343115262187e+00,-3.171112432754761201e+01,-1.961472037914247402e+00,-1.652507584489567023e+02,-1.182273994734730937e+00
5.549003717133085267e+00,-3.182216418206724384e+01,-1.956236760628063287e+00,-1.652049053005611938e+02,-1.195788597648421714e+00
5.568271091150908347e+00,-3.193497560660364698e+01,-1.950775462440218044e+00,-1.651606545564567057e+02,-1.209298169724693395e+00
5.587538465168731427e+00,-3.204957369418973201e+01,-1.945079195151254936e+00,-1.651179513788304689e+02,-1.222787870755845940e+00
5.606805839186554508e+00,-3.216597227980625462e+01,-1.939138526048567179e+00,-1.650766793529869858e+02,-1.236247176499433609e+00
5.626073213204378476e+00,-3.228418370783350611e+01,-1.932943513106129663e+00,-1.650366867669075361e+02,-1.249672830626983311e+00
5.645340587222201556e+00,-3.240421856954654345e+01,-1.926483679870305332e+00,-1.649978220627947678e+02,-1.263069933280402735e+00
5.664607961240024636e+00,-3.252608541008764576e+01,-1.919747990280487704e+00,-1.649599693571988723e+02,-1.276450887387065469e+00
5.683875335257847716e+00,-3.264979040447524028e+01,-1.912724823551906983e+00,-1.649230748889528684e+02,-1.289832473617742448e+00
5.703142709275670796e+00,-3.277533700159818864e+01,-1.905401949129863493e+00,-1.648871575776655902e+02,-1.303231808258493496e+00
5.722410083293493877e+00,-3.290272553388248866e+01,-1.897766501653294302e+00,-1.648523009827131034e+02,-1.316662227722260381e+00
5.741677457311317845e+00,-3.303195278865959494e+01,-1.889804955874472725e+00,-1.648186287706393500e+02,-1.330130160955407259e+00
5.760944831329140925e+00,-3.316301153558460157e+01,-1.881503101585431326e+00,-1.647862700520455235e+02,-1.343633792159646401e+00
5.780212205346964005e+00,-3.329589000312924441e+01,-1.872846018792695855e+00,-1.647553235253002697e+02,-1.357163851531322685e+00
5.799479579364787085e+00,-3.343057129650787829e+01,-1.863818053631683958e+00,-1.647258296220761054e+02,-1.370706324660678321e+00
5.818746953382610165e+00,-3.356703274952056404e+01,-1.854402795779846347e+00,-1.646977577651233275e+02,-1.384246382621437732e+00
5.838014327400433245e+00,-3.370524520364824639e+01,-1.844583058370780293e+00,-1.646710119824022058e+02,-1.397772526065596654e+00
5.857281701418256326e+00,-3.384517220907561352e+01,-1.834340861598243277e+00,-1.646454534503283753e+02,-1.411279882452629586e+00
5.876549075436080294e+00,-3.398676914378995662e+01,-1.823657421316890126e+00,-1.646209342189199560e+02,-1.424771808898120051e+00
5.895816449453903374e+00,-3.412998224815765980e+01,-1.812513144007233956e+00,-1.645973334824583674e+02,-1.438259382973603007e+00
5.915083823471726454e+00,-3.427474757315420106e+01,-1.800887629508820531e+00,-1.645745870540122837e+02,-1.451758904696972774e+00
5.934351197489549534e+00,-3.442098984064764977e+01,-1.788759682984508492e+00,-1.645527024040393655e+02,-1.465288047634167201e+00
5.953618571507372614e+00,-3.456862121397105625e+01,-1.776107337707562905e+00,-1.645317553294713093e+02,-1.478861650192283550e+00
5.972885945525195694e+00,-3.471753997682998261e+01,-1.762907890497793950e+00,-1.645118690743162233e+02,-1.492488234292378202e+00
5.992153319543019663e+00,-3.486762911889297811e+01,-1.749137951986073913e+00,-1.644931812689434594e+02,-1.506168150950498053e+00
6.011420693560842743e+00,-3.501875482774697446e+01,-1.734773514342905276e+00,-1.644758071941405717e+02,-1.519893831461554434e+00
6.030688067578665823e+00,-3.517076488973245318e+01,-1.719790039623695366e+00,-1.644598088053370191e+02,-1.533652081016426028e+00
6.049955441596488903e+00,-3.532348700678723219e+01,-1.704162572398439712e+00,-1.644451774662816774e+02,-1.547427829216696304e+00
6.069222815614311983e+00,-3.547672704287496970e+01,-1.687865880776021843e+00,-1.644318348477125937e+02,-1.561208380308203969e+00
6.088490189632135063e+00,-3.563026722168065419e+01,-1.670874630237411118e+00,-1.644196518312700164e+02,-1.574987076074259029e+00
6.107757563649959032e+00,-3.578386430668146545e+01,-1.653163594807183001e+00,-1.644084806645580557e+02,-1.588765428265627833e+00
6.127024937667782112e+00,-3.593724780504139460e+01,-1.634707909988616592e+00,-1.643981921832638022e+02,-1.602553161938629955e+00
6.146292311685605192e+00,-3.609011824766793097e+01,-1.615483371552050684e+00,-1.643887085366277176e+02,-1.616366143346259943e+00
6.165559685703428272e+00,-3.624214560896359671e+01,-1.595466783695712598e+00,-1.643800229236173323e+02,-1.630222712589970646e+00
6.184827059721250464e+00,-3.639296794119762524e+01,-1.574636359284844689e+00,-1.643722011433540615e+02,-1.644139359476374240e+00
6.204094433739073544e+00,-3.654219030998940809e+01,-1.552972173791398625e+00,-1.643653644514874088e+02,-1.658126857930982467e+00
6.223361807756896624e+00,-3.668938412905913538e+01,-1.530456673146963542e+00,-1.643596580616022607e+02,-1.672187860428178574e+00
6.242629181774720593e+00,-3.683408700385014356e+01,-1.507075233900250222e+00,-1.643552133539124895e+02,-1.686316579004899951e+00
