Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
1.175309815087215881e+00,-4.382117814206868900e+01,-1.575990324104309392e+00,-1.960930238943057873e+02,-5.852510384051575615e-02
1.194577189105039183e+00,-4.354131730634016151e+01,-1.576489343265222498e+00,-1.953297728316736368e+02,-1.241740428542234542e-01
1.213844563122862263e+00,-4.326604014316113478e+01,-1.577011034680035673e+00,-1.946097022733468123e+02,-1.930385019049159767e-01
1.233111937140685566e+00,-4.299520652239351648e+01,-1.577556010617458648e+00,-1.939384631125585656e+02,-2.643435592223783992e-01
1.252379311158508868e+00,-4.272868327821126400e+01,-1.578124876776257679e+00,-1.933188280311098595e+02,-3.370967068868102046e-01
1.271646685176331948e+00,-4.246634373156037157e+01,-1.578718222011484817e+00,-1.927504078987222726e+02,-4.102567322306668318e-01
1.290914059194155250e+00,-4.220806721397445926e+01,-1.579336613712278847e+00,-1.922298975245982433e+02,-4.828779220322954036e-01
1.310181433211978330e+00,-4.195373861798142912e+01,-1.579980599503352678e+00,-1.917516818953804716e+02,-5.542221720638107474e-01
1.329448807229801632e+00,-4.170324799785321090e+01,-1.580650714309125959e+00,-1.913086943227773702e+02,-6.238352303799181708e-01
1.348716181247624935e+00,-4.145649023650415188e+01,-1.581347490546015866e+00,-1.908934370515137005e+02,-6.915818792278398686e-01
1.367983555265448015e+00,-4.121336478244511170e+01,-1.582071468587175289e+00,-1.904990472104585137e+02,-7.576341636546537472e-01
1.387250929283271317e+00,-4.097377544816639272e+01,-1.582823204784578053e+00,-1.901202438575759004e+02,-8.224109946950541872e-01
1.406518303301094619e+00,-4.073763025139143679e+01,-1.583603275147366762e+00,-1.897539709630300138e+02,-8.864772411386547812e-01
1.425785677318917699e+00,-4.050484127567524695e+01,-1.584412274012171551e+00,-1.893995942506923598e+02,-9.504220231330242630e-01
1.445053051336741001e+00,-4.027532452777417404e+01,-1.585250808360503250e+00,-1.890586175614587603e+02,-1.014743027477123194e+00
1.464320425354564081e+00,-4.004899977548457457e+01,-1.586119489502137991e+00,-1.887340134634523565e+02,-1.079761746476828321e+00
1.483587799372387384e+00,-3.982579035933771650e+01,-1.587018924399334452e+00,-1.884293539794498429e+02,-1.145584308614556290e+00
1.502855173390210686e+00,-3.960562298199907616e+01,-1.587949708846882135e+00,-1.881479467031695378e+02,-1.212109301441399722e+00
1.522122547408033766e+00,-3.938842748777575764e+01,-1.588912424101484699e+00,-1.878921385848740044e+02,-1.279073471130164341e+00
